Codigo_Mun,Municipio,total,known,unknown,suspicious,coverage_pct,min_year,max_year,null_geom,invalid_geom,area_min_m2,area_p50_m2,area_p95_m2,area_max_m2,heaping_05_pct,dataset
93,areatza,377,373,0,4,98.94,1700,2023,0,0,2.8,112.4,463.02,3769.72,45.58,parcelario-catastral-areatza
94,igorre,1055,1052,0,3,99.72,1700,2022,0,0,2.26,140.31,969.36,19942.89,34.13,parcelario-catastral-igorre
95,zaldibar,530,521,0,9,98.3,1700,2023,0,0,1.01,168.64,1242.29,126577.3,39.73,parcelario-catastral-zaldibar
96,zalla,2046,2042,0,4,99.8,1700,2025,0,0,1.0,114.29,602.28,8045.93,31.34,parcelario-catastral-zalla
97,zaratamo,679,679,0,0,100.0,1760,2019,0,0,1.0,89.36,1254.54,14908.84,25.63,parcelario-catastral-zaratamo
901,derio,1037,1037,0,0,100.0,1815,2025,0,0,2.08,155.39,2618.26,96066.04,19.67,parcelario-catastral-derio
902,erandio,2821,2821,0,0,100.0,1700,2026,0,0,2.3,145.65,1424.06,25339.29,41.3,parcelario-catastral-erandio
903,loiu,1262,1261,0,1,99.92,1700,2026,0,0,2.16,130.52,2047.96,219843.28,27.76,parcelario-catastral-loiu
904,sondika,1560,1554,0,6,99.62,1700,2026,0,0,1.17,86.96,1140.07,67424.59,32.88,parcelario-catastral-sondika
905,zamudio,1265,1255,0,10,99.21,1700,2026,0,0,2.28,232.33,3634.54,18167.5,30.12,parcelario-catastral-zamudio
906,forua,465,461,0,4,99.14,1700,2019,0,0,3.09,119.97,373.64,4661.46,36.66,parcelario-catastral-forua
907,kortezubi,385,379,0,6,98.44,1700,2025,0,0,2.25,127.31,458.23,1948.7,65.7,parcelario-catastral-kortezubi
908,murueta,254,245,0,9,96.46,1800,2024,0,0,3.7,95.84,342.11,4204.48,43.67,parcelario-catastral-murueta
909,nabarniz,230,229,0,1,99.57,1700,2019,0,0,4.4,167.67,416.36,1410.08,55.02,parcelario-catastral-nabarniz
910,iurreta,998,956,0,42,95.79,1700,2026,0,2,2.54,193.6,2570.49,180273.19,40.59,parcelario-catastral-iurreta
911,ajangiz,424,410,0,14,96.7,1750,2025,0,1,3.05,105.0,601.99,10230.17,37.8,parcelario-catastral-ajangiz
912,alonsotegi,544,543,0,1,99.82,1700,2025,0,0,5.1,102.36,700.53,45494.25,30.2,parcelario-catastral-alonsotegi
913,zierbena,1467,1467,0,0,100.0,1800,2026,0,0,2.71,81.9,4266.95,159524.69,34.97,parcelario-catastral-zierbena
914,arratzu,334,331,0,3,99.1,1700,2024,0,0,6.06,117.93,354.82,2637.21,72.51,parcelario-catastral-arratzu
915,ziortza-bolibar,355,331,0,24,93.24,1700,2025,0,0,3.31,127.91,483.87,1913.82,79.46,parcelario-catastral-ziortza-bolibar
