KODEA/CODIGO;UDALERRIA/MUNICIPIO;EKITALDIA /EJERCICIO;HILABETE/MES;DATUAK ERAUZI EGUNA/FECHA EXTRACCION;ARLO FUNTZIONALA/AREA FUNCIONAL;AZALERA (KM2)/EXTENSION (KM2);BIZTANLE ERROLDA/HABITANTES CENSO;JARD EKON  LURZORUA HL GUZTIRA (M2)/SUELO AE  TOTAL SUB(M2);JARD EKON  LURZORUA HL HUTSIK (M2)/SUELO AE  VACANTE SUB(M2);JARD EKON  LURZORUA  LU GUZTIRA (M2)/SUELO AE  TOTAL SUZ(M2);JARD EKON  LURZORUA LU HUTSIK (M2)/SUELO AE  VACANTE SUZ(M2);BIZIT LORZORUA HL GUZTIRA (M2)/SUELO RES  TOTAL SUB(M2);BIZIT LORZORUA HL HUTSIK (M2)/SUELO RES  VACANTE SUB(M2);BIZIT LORZORUA  LU GUZTIRA (M2)/SUELO RES  TOTAL SUZ(M2);BIZIT LORZORUA  LU HUTSIK (M2)/SUELO RES  VACANTE SUZ(M2);HL ETXE  LIBREA GUZTIRA/TOTAL VIV  SUB  LIBRE;HL ETXE  BOE GUZTIRA/TOTAL VIV  SUB  VPO;HL ETXE B BABES BATZ GUZTIRA/TOTAL VIV  SUB  OTRAS PROTEC ;BURUTZEKO ETXE  HL/VIVIENDAS POR EJECUTAR SUB;LU ETXE LIBREA GUZTIRA/TOTAL VIV  SUZ  LIBRE;LU ETXE BOE GUZTIRA/TOTAL VIV  SUZ  VPO;LU ETXE  B BABES BATZ GUZTIRA/TOTAL VIV  SUZ  OTRAS PROTEC ;BURUTZEKO ETXE LU/VIVIENDAS POR EJECUTAR SUZ;NG ETXE  GUZTIAK/TOTAL VIVIENDAS NR;BURUTZEKO ETXE  LN/VIVIENDAS POR EJECUTAR NR
"=061";MARURI-JATABE;2024;4;2024-05-07T17:00:32Z;Mungia;16;958;0;0;75082;10509;153877,31;16507,869999999999;163319;156464,03;0;0;0;23;224;0;0;185;38;8
"=062";MENDATA;2024;4;2024-05-07T17:00:32Z;Gernika-Markina;22;386;0;0;0;0;80581,699999999997;26250;0;0;35;0;22;34;0;0;0;0;154;54
"=063";MENDEXA;2024;4;2024-05-07T17:00:32Z;Gernika-Markina;6;457;771,69000000000005;0;0;0;89606,979999999996;16289,049999999999;47612,25;47612,25;80;8;0;13;68;0;30;98;57;14
"=064";MEÑAKA;2024;4;2024-05-07T17:00:32Z;Mungia;12;734;3781,6999999999998;1828,47;0;0;48910,370000000003;5941,6000000000004;20677,75;20677,75;17;0;0;15;54;0;15;69;70;14
"=065";UGAO-MIRABALLES;2024;4;2024-05-07T17:00:32Z;Bilbao Metropolitano;5;4046;172377,69;0;0;0;165787,28;20806,98;63170;30070;414;11;38;250;70;60;54;70;15;2
"=066";MORGA;2024;4;2024-05-07T17:00:32Z;Gernika-Markina;14;405;5594;310;0;0;91961,690000000002;27236,599999999999;0;0;50;0;4;47;0;0;0;0;62;16
"=067";MUXIKA;2024;4;2024-05-07T17:00:32Z;Gernika-Markina;49;1459;72648,350000000006;0;798509;697825,48999999999;52413,309999999998;7700;93618,479999999996;56992,480000000003;21;0;0;14;136;0;0;69;345;47
"=068";MUNDAKA;2024;4;2024-05-07T17:00:32Z;Gernika-Markina;3;1924;125048,55;739;0;0;130545,34;17903,200000000001;0;0;164;0;68;149;0;0;0;0;0;0
"=069";MUNGIA;2024;4;2024-05-07T17:00:32Z;Mungia;44;16774;726272,76000000001;85354,669999999998;756516,39000000001;640352,80000000005;3772146,5;62720,209999999999;923148,57999999996;441954,66999999998;1184;142;0;508;913;1674;112;1692;673;142
"=070";AULESTI;2024;4;2024-05-07T17:00:32Z;Gernika-Markina;25;666;10607,700000000001;568;0;0;59996,129999999997;9686,3400000000001;0;0;91;0;0;90;0;0;0;0;89;19
